epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,184.872,0.88435,1.75344,2.13132,1.16052,0,0.00472,0.52598,0.47832,0.3547,0.00685,0.84443,0.48314,0.38159,1.02329,1.57438,3.03749,1.36067,0,0.000543844,0.000543844,0.000543844
2,350.474,0.79581,1.03661,1.05631,1.0715,0,0.8138,0.48467,0.68754,0.42135,0.81781,0.48496,0.68373,0.46347,1.07941,1.45488,2.41293,1.34474,0,0.00106323,0.00106323,0.00106323
3,512.91,0.7909,1.03857,0.93248,1.07769,0,0.78372,0.73187,0.80501,0.59099,0.77609,0.72061,0.78771,0.5455,0.89774,1.86218,1.4856,1.25548,0,0.00154594,0.00154594,0.00154594
4,684.141,0.78516,0.97358,0.8557,1.07103,0,0.7506,0.63096,0.72816,0.45221,0.75746,0.63486,0.72711,0.434,1.24778,1.08576,1.69594,1.53514,0,0.00150197,0.00150197,0.00150197
5,860.192,0.744,0.92131,0.77429,1.04347,0,0.75018,0.73902,0.79291,0.53165,0.75115,0.73901,0.79255,0.48777,1.02885,1.0508,1.37327,1.26996,0,0.00144696,0.00144696,0.00144696
6,1041.43,0.72459,0.88135,0.71578,1.03127,0,0.88311,0.82873,0.88846,0.65831,0.87768,0.82659,0.88582,0.64106,0.82732,0.96196,1.01507,1.16936,0,0.00139195,0.00139195,0.00139195
7,1193.14,0.70021,0.89574,0.67271,1.01728,0,0.90754,0.85994,0.90799,0.69102,0.89882,0.86438,0.90474,0.67828,0.77717,0.8369,0.80393,1.07873,0,0.00133693,0.00133693,0.00133693
8,1361.62,0.69711,0.89114,0.63808,1.02301,0,0.92845,0.88215,0.93922,0.7032,0.92724,0.88217,0.92894,0.66976,0.81724,0.75888,0.76822,1.11489,0,0.00128192,0.00128192,0.00128192
9,1529.03,0.68651,0.89882,0.60649,1.01253,0,0.77595,0.75791,0.79147,0.54274,0.77803,0.76347,0.79766,0.55494,1.01514,1.00275,1.22402,1.21739,0,0.00122691,0.00122691,0.00122691
10,1710.65,0.68445,0.85642,0.5862,1.00433,0,0.95324,0.88627,0.93,0.69749,0.95065,0.88404,0.92519,0.68237,0.76483,0.69657,0.74367,1.0918,0,0.0011719,0.0011719,0.0011719
11,1871.55,0.64294,0.76948,0.5321,0.98858,0,0.92448,0.86315,0.92978,0.70901,0.92216,0.86092,0.92775,0.65503,0.75739,0.72708,0.79297,1.06582,0,0.00111689,0.00111689,0.00111689
12,2052.96,0.61652,0.74435,0.50671,0.97889,0,0.93336,0.92595,0.95375,0.73478,0.92886,0.92149,0.95035,0.71623,0.72049,0.68419,0.58258,1.01279,0,0.00106188,0.00106188,0.00106188
13,2232.75,0.61656,0.7407,0.48571,0.97013,0,0.9194,0.91003,0.93921,0.74876,0.91713,0.90695,0.93384,0.71886,0.67093,0.68709,0.61876,1.00895,0,0.00100687,0.00100687,0.00100687
14,2396.2,0.60151,0.74552,0.47884,0.96576,0,0.94601,0.89441,0.95109,0.73718,0.93816,0.88717,0.93039,0.69963,0.70312,0.68457,0.60261,1.01927,0,0.000951857,0.000951857,0.000951857
15,2569.99,0.5961,0.74767,0.47811,0.96478,0,0.93483,0.92221,0.94765,0.76394,0.93239,0.91999,0.94511,0.73518,0.6445,0.74738,0.54528,0.98403,0,0.000896846,0.000896846,0.000896846
16,2723.62,0.60487,0.76521,0.46536,0.95847,0,0.97262,0.92886,0.9695,0.76894,0.96771,0.92441,0.96067,0.76227,0.65437,0.64192,0.53347,0.98774,0,0.000841835,0.000841835,0.000841835
17,2891.81,0.58635,0.71611,0.45285,0.95305,0,0.94718,0.92473,0.94838,0.73255,0.95174,0.92919,0.95098,0.75107,0.72025,0.62604,0.58332,1.04182,0,0.000786824,0.000786824,0.000786824
18,3059.41,0.58991,0.73467,0.46161,0.94889,0,0.94656,0.92278,0.94257,0.74224,0.94039,0.92883,0.94091,0.7262,0.6823,0.70434,0.54705,0.99364,0,0.000731813,0.000731813,0.000731813
19,3223.8,0.5719,0.68327,0.42165,0.94412,0,0.94847,0.95377,0.97268,0.78884,0.94847,0.95377,0.96894,0.77972,0.62677,0.66034,0.49016,0.96582,0,0.000676802,0.000676802,0.000676802
20,3387.54,0.56045,0.69262,0.41114,0.93337,0,0.96039,0.93328,0.96736,0.78952,0.96039,0.93328,0.96583,0.77575,0.62837,0.64448,0.4729,0.95976,0,0.000621791,0.000621791,0.000621791
21,3560,0.61171,0.56016,0.4676,0.95367,0,0.96879,0.91822,0.96437,0.76011,0.96161,0.91155,0.95449,0.71437,0.64377,0.62154,0.52634,0.97517,0,0.00056678,0.00056678,0.00056678
22,3724.04,0.57669,0.52517,0.4331,0.94568,0,0.97987,0.91688,0.97007,0.77578,0.97797,0.91239,0.95931,0.76098,0.62135,0.57725,0.50262,0.97467,0,0.000511769,0.000511769,0.000511769
23,3891.29,0.57982,0.48492,0.4114,0.95085,0,0.95728,0.93761,0.96156,0.78714,0.95728,0.93761,0.96182,0.78364,0.6046,0.57569,0.49278,0.96555,0,0.000456758,0.000456758,0.000456758
24,4052.53,0.55158,0.4879,0.39221,0.93107,0,0.9568,0.94565,0.96946,0.79307,0.96372,0.95232,0.97554,0.79235,0.61165,0.54983,0.44915,0.95563,0,0.000401747,0.000401747,0.000401747
25,4217.13,0.54659,0.49008,0.38269,0.92214,0,0.96369,0.94666,0.974,0.79527,0.96605,0.94888,0.97368,0.79704,0.59464,0.54507,0.42272,0.9355,0,0.000346736,0.000346736,0.000346736
26,4377.75,0.52912,0.45735,0.36923,0.91495,0,0.95596,0.95009,0.97462,0.80534,0.9746,0.93814,0.97466,0.79804,0.57134,0.55051,0.41458,0.93387,0,0.000291725,0.000291725,0.000291725
27,4536.86,0.52284,0.46135,0.35409,0.91368,0,0.96201,0.9609,0.97669,0.81034,0.96201,0.9609,0.9744,0.80315,0.5636,0.54112,0.40661,0.92536,0,0.000236714,0.000236714,0.000236714
28,4700.15,0.51263,0.45118,0.35877,0.90354,0,0.96448,0.95619,0.97506,0.80977,0.96448,0.95619,0.9711,0.79893,0.55743,0.53727,0.39447,0.92297,0,0.000181703,0.000181703,0.000181703
29,5389.07,0.50437,0.4501,0.34007,0.90344,0,0.97055,0.95701,0.97375,0.80816,0.96863,0.95431,0.97039,0.80994,0.55827,0.53222,0.39546,0.9222,0,0.000126692,0.000126692,0.000126692
30,6089.9,0.50054,0.41471,0.33753,0.90351,0,0.97095,0.95542,0.97734,0.8133,0.96865,0.95319,0.97281,0.80449,0.55347,0.532,0.38814,0.92191,0,7.1681e-05,7.1681e-05,7.1681e-05
